spatial_cell,hour,avg_poi,avg_violations
cell_12.841_77.65,0.0,0.8549366094914741,6
cell_12.841_77.65,1.0,1.1786549963416462,1
cell_12.841_77.65,2.0,0.5596157879354227,1
cell_12.841_77.65,4.0,0.7537718023763802,1
cell_12.841_77.65,5.0,1.0836331948977138,2
cell_12.841_77.65,6.0,0.7808042161108538,6
cell_12.841_77.65,7.0,0.7655471443480791,16
cell_12.841_77.65,8.0,0.6180680002608674,6
cell_12.841_77.65,22.0,0.6118015411059929,2
cell_12.841_77.65,23.0,0.9722192938269003,4
cell_12.841_77.651,0.0,0.5361127667474574,2
cell_12.841_77.651,1.0,0.5596157879354227,1
cell_12.841_77.651,2.0,1.1786549963416462,5
cell_12.841_77.651,5.0,0.6785074359150002,3
cell_12.841_77.651,6.0,0.8660412204485359,7
cell_12.841_77.651,7.0,0.9234789477642934,6
cell_12.841_77.651,8.0,0.7620601470979976,6
cell_12.841_77.651,21.0,1.1786549963416462,2
cell_12.841_77.652,0.0,0.5596157879354227,1
cell_12.841_77.652,1.0,0.7052327987661409,4
cell_12.841_77.652,7.0,0.7537718023763802,1
cell_12.841_77.652,8.0,0.7537718023763802,1
cell_12.841_77.663,0.0,0.44628710262841953,1
cell_12.841_77.663,1.0,0.3184537311185346,1
cell_12.841_77.663,2.0,0.44628710262841953,1
cell_12.841_77.663,3.0,0.7537718023763802,1
cell_12.841_77.676,1.0,0.44628710262841953,2
cell_12.841_77.676,3.0,1.1982929094215964,15
cell_12.841_77.676,4.0,0.7379532599047889,2
cell_12.841_77.676,5.0,0.5596157879354227,1
cell_12.841_77.676,6.0,0.9465152931893123,24
cell_12.841_77.676,10.0,0.9103315297613142,3
cell_12.841_77.676,11.0,1.6358168624041358,10
cell_12.841_77.676,12.0,1.3862943611198906,5
cell_12.841_77.676,19.0,0.6029549790436647,3
cell_12.841_77.676,22.0,0.3184537311185346,1
cell_12.841_77.677,1.0,0.5596157879354227,15
cell_12.841_77.677,2.0,0.7045149839105327,32
cell_12.841_77.677,3.0,1.105633368951424,19
cell_12.841_77.677,4.0,0.873634342744663,54
cell_12.841_77.677,5.0,0.7537718023763803,3
cell_12.841_77.677,6.0,0.9886113934537812,3
cell_12.841_77.677,9.0,0.8142245148950643,19
cell_12.841_77.677,11.0,1.9961343172409596,8
